A-site cation,B-site cation,X-site anion,A1,A2,A3,B1,B2,X1,X2,X3,Bg,VBM,CBM
FAMACs,PbSn,BrClI,0,0,1,1,0,0,3,0,2.78,-6.04,-3.26
FAMACs,PbSn,BrClI,0,0,1,1,0,3,0,0,2.39,-5.75,-3.36
FAMACs,PbSn,BrClI,0,0,1,1,0,0,0,3,1.73,-5.18,-3.45
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0,3,1.51,-5.39,-3.88
FAMACs,PbSn,BrClI,0,1,0,0.7,0.3,0,0,3,1.31,-5.12,-3.81
FAMACs,PbSn,BrClI,0,1,0,0.5,0.5,0,0,3,1.28,-4.95,-3.67
FAMACs,PbSn,BrClI,0,1,0,0.3,0.7,0,0,3,1.23,-4.92,-3.69
FAMACs,PbSn,BrClI,0,1,0,0.1,0.9,0,0,3,1.18,-4.75,-3.57
FAMACs,PbSn,BrClI,0,1,0,0,1,0,0,3,1.1,-4.73,-3.63
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0.1998,2.8002,1.6,-5.4,-3.8
FAMACs,PbSn,BrClI,1,0,0,1,0,0,0,3,1.53,-5.76,-4.23
FAMACs,PbSn,BrClI,0.97,0,0.03,1,0,0,0,3,1.53,-5.57,-4.04
FAMACs,PbSn,BrClI,0.93,0,0.07,1,0,0,0,3,1.54,-5.43,-3.89
FAMACs,PbSn,BrClI,0.83,0,0.17,1,0,0,0,3,1.56,-5.33,-3.77
FAMACs,PbSn,BrClI,0.9,0,0.1,1,0,0,0,3,1.55,-5.4,-3.85
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0.48,0,2.52,1.58,-5.45,-3.87
FAMACs,PbSn,BrClI,0.83,0,0.17,1,0,0.6,0,2.4,1.6,-5.4,-3.8
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0,0,3,1.53,-5.46,-3.93
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0.45,0,2.55,1.62,-5.48,-3.86
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0.15,0,2.85,1.57,-5.47,-3.9
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0.3,0,2.7,1.59,-5.48,-3.89
FAMACs,PbSn,BrClI,0.8004,0.1196,0.08,1,0,0.3588,0,2.6412,1.6,-5.7,-4.1
FAMACs,PbSn,BrClI,0.85,0.15,0,1,0,0.45,0,2.55,1.73,-5.65,-3.92
FAMACs,PbSn,BrClI,0.15,0.85,0,1,0,0.15,0,2.85,1.58,-5.44,-3.86
FAMACs,PbSn,BrClI,0.7885,0.1615,0.05,1,0,0.51,0,2.49,1.7,-5.6,-3.9
FAMACs,PbSn,BrClI,0.747,0.083,0.17,1,0,0.39,0,2.61,1.6,-5.8,-4.2
FAMACs,PbSn,BrClI,0.8075,0.1425,0.05,1,0,0.4275,0,2.5725,1.6,-5.5,-3.9
FAMACs,PbSn,BrClI,0.81,0.14,0.05,1,0,0.45,0,2.55,1.6,-5.47,-3.87
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0,3,1.5,-5.4,-3.9
FAMACs,PbSn,BrClI,0.9,0,0.1,1,0,0,0,3,1.48,-5.35,-3.87
FAMACs,PbSn,BrClI,0,1,0,0,1,3,0,0,2.25,-5.67,-3.42
FAMACs,PbSn,BrClI,1,0,0,0,1,0,0,3,1.22,-5.34,-4.12
FAMACs,PbSn,BrClI,0.8075,0.1425,0.05,1,0,0.4275,0,2.5725,1.62,-5.47,-3.85
FAMACs,PbSn,BrClI,0,1,0,1,0,0.9,0,2.1,1.96,-6.25,-4.29
