Perovskite,A1,A2,A3,B1,B2,X1,X2,X3,Mean_Bg
MAFACsPbSnBrClI,0,1,0,1,0,0.03,0,2.97,1.6
MAFACsPbSnBrClI,0.925,0,0.075,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.95,0,0.05,1,0,0,0,3,1.554
MAFACsPbSnBrClI,0,1,0,0,1,0.999,0,2.001,1.503
MAFACsPbSnBrClI,0.6,0.4,0,1,0,0.399,0,2.601,1.58
MAFACsPbSnBrClI,0.83,0.12,0.05,1,0,0.489,0,2.511,1.6
MAFACsPbSnBrClI,0,1,0,0.65,0.35,0,0,3,1.25
MAFACsPbSnBrClI,0.79,0.16,0.05,0.748,0.252,0.519,0,2.481,1.38
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.51,0,2.49,1.61
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.9,0,2.1,1.7
MAFACsPbSnBrClI,0,0,1,0.3,0.7,0,0,3,1.29
MAFACsPbSnBrClI,0,1,0,1,0,0.6,2.4,0,2.98
MAFACsPbSnBrClI,0.83,0.17,0,1,0,1.2,0,1.8,1.72
MAFACsPbSnBrClI,0,1,0,0.38,0.62,0,0,3,1.22
MAFACsPbSnBrClI,0,1,0,1,0,0.081,0,2.919,1.6
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.3,0,2.7,1.56
MAFACsPbSnBrClI,0,1,0,0.95,0.05,0,0,3,1.5
MAFACsPbSnBrClI,0.55,0.37,0.08,1,0,0,0,3,1.53
MAFACsPbSnBrClI,0.5,0,0.5,1,0,0.51,0,2.49,1.62
MAFACsPbSnBrClI,0.39,0.6,0.01,1,0,0.024,0,2.976,1.6
MAFACsPbSnBrClI,0,1,0,0.625,0.375,0,0,3,1.25
MAFACsPbSnBrClI,0,1,0,1,0,2.49,0.51,0,2.46
MAFACsPbSnBrClI,1,0,0,0.7,0.3,0,0,3,1.337
MAFACsPbSnBrClI,0,1,0,1,0,0.225,0,2.775,1.62
MAFACsPbSnBrClI,0.25,0.75,0,0,1,0,0,3,1.311
MAFACsPbSnBrClI,0.83,0.12,0.05,1,0,0.39,0,2.61,1.6
MAFACsPbSnBrClI,0,1,0,0.75,0.25,1.5,0,1.5,1.65
MAFACsPbSnBrClI,0,1,0,1,0,0.699,0,2.301,1.68
MAFACsPbSnBrClI,0,0,1,1,0,0,3,0,3
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.501,0,2.499,1.565
MAFACsPbSnBrClI,0.25,0.75,0,1,0,0,0,3,1.54
MAFACsPbSnBrClI,0,0.9,0.1,0.75,0.25,0,0,3,1.39
MAFACsPbSnBrClI,0,1,0,0.9,0.1,0,0,3,1.5
MAFACsPbSnBrClI,0.85,0.1,0.05,1,0,0.45,0,2.55,1.59
MAFACsPbSnBrClI,0.1,0.9,0,1,0,0,0,3,1.553
MAFACsPbSnBrClI,0,1,0,1,0,0,0,3,1.566
MAFACsPbSnBrClI,0,1,0,0.5,0.5,1.2,0,1.8,1.48
MAFACsPbSnBrClI,0,1,0,0,1,1.5,0.501,0.999,1.97
MAFACsPbSnBrClI,0,1,0,0.6,0.4,0,0,3,1.39
MAFACsPbSnBrClI,0.7,0.3,0,1,0,0.768,0,2.232,1.71
MAFACsPbSnBrClI,0.7,0.3,0,1,0,0.099,0,2.901,1.58
MAFACsPbSnBrClI,0.7,0.3,0,1,0,0.9,0,2.1,1.71
MAFACsPbSnBrClI,0,1,0,1,0,2.7,0.3,0,2.19
MAFACsPbSnBrClI,0.5,0.5,0,1,0,0.501,0,2.499,1.612
MAFACsPbSnBrClI,0.4,0.1,0.5,1,0,0.51,0,2.49,1.7
MAFACsPbSnBrClI,0.33,0.67,0,1,0,3,0,0,2.288
MAFACsPbSnBrClI,0,1,0,1,0,1.251,0,1.749,1.76
MAFACsPbSnBrClI,1,0,0,0,1,0,0,3,1.4
MAFACsPbSnBrClI,0,0.7,0.3,1,0,0,0,3,1.58
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0.9,0,2.1,1.73
MAFACsPbSnBrClI,0.8,0,0.2,1,0,1.2,0,1.8,1.803
MAFACsPbSnBrClI,0,0.8,0.2,1,0,0,0,3,1.62
MAFACsPbSnBrClI,1,0,0,0.375,0.625,0,0,3,1.21
MAFACsPbSnBrClI,0.2,0.5,0.3,1,0,0,0,3,1.64
MAFACsPbSnBrClI,1,0,0,0,1,0.999,0,2.001,1.571
MAFACsPbSnBrClI,0,1,0,1,0,1.08,1.92,0,2.81
MAFACsPbSnBrClI,0,1,0,1,0,0.87,0,2.13,1.715
MAFACsPbSnBrClI,0,1,0,1,0,0.999,0,2.001,1.6
MAFACsPbSnBrClI,0,1,0,1,0,3,0,0,2.3
MAFACsPbSnBrClI,0.93,0,0.07,1,0,0.15,0,2.85,1.62
MAFACsPbSnBrClI,0.664,0.136,0.2,1,0,1.05,0,1.95,1.77
MAFACsPbSnBrClI,0.76,0.19,0.05,1,0,0.6,0,2.4,1.59
MAFACsPbSnBrClI,1,0,0,1,0,2.1,0.9,0,2.44
MAFACsPbSnBrClI,0,0,1,1,0,2.901,0,0.099,2.38
MAFACsPbSnBrClI,0.55,0,0.45,1,0,0.15,0,2.85,1.62
MAFACsPbSnBrClI,0.81,0.09,0.1,1,0,0.03,0,2.97,1.6
MAFACsPbSnBrClI,0.79,0.15,0.06,1,0,1.8,0,1.2,1.805
MAFACsPbSnBrClI,0.7885,0.1615,0.05,1,0,0.3,0,2.7,1.55
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.81,0,2.19,1.72
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.48,0,2.52,1.582
MAFACsPbSnBrClI,0.66,0.14,0.2,0.25,0.75,0.501,0,2.499,1.28
MAFACsPbSnBrClI,0.8,0.2,0,1,0,0.285,0,2.715,1.61
MAFACsPbSnBrClI,0,0,1,0.1,0.9,0,0,3,1.22
MAFACsPbSnBrClI,0.75,0.15,0.1,0.25,0.75,0.501,0,2.499,1.29
MAFACsPbSnBrClI,0.75,0.25,0,1,0,0.51,0,2.49,1.65
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0.45,0,2.55,1.66
MAFACsPbSnBrClI,0.12,0,0.88,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.5,0.5,0,1,0,1.5,0,1.5,1.833
MAFACsPbSnBrClI,0.36,0.54,0.1,1,0,0.201,0,2.799,1.59
MAFACsPbSnBrClI,0.85,0,0.15,0,1,0,0,3,1.35
MAFACsPbSnBrClI,1,0,0,1,0,2.43,0.57,0,2.36
MAFACsPbSnBrClI,0.75,0,0.25,0,1,0,0,3,1.29
MAFACsPbSnBrClI,1,0,0,0,1,0.501,0,2.499,1.53
MAFACsPbSnBrClI,0.78,0.13,0.05,1,0,0.45,0,2.55,1.6
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.501,0,2.499,1.63
MAFACsPbSnBrClI,0,1,0,1,0,2.16,0,0.84,2.01
MAFACsPbSnBrClI,0,0,1,1,0,0.999,0,2.001,1.916
MAFACsPbSnBrClI,1,0,0,1,0,2.25,0.75,0,2.39
MAFACsPbSnBrClI,0.83,0,0.17,0.6,0.4,0,0,3,1.275
MAFACsPbSnBrClI,0.76,0.16,0.08,1,0,0.51,0,2.49,1.62
MAFACsPbSnBrClI,0.75,0.1,0.15,1,0,0,0,3,1.554
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.39,0,2.61,1.59
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.87,0,2.13,1.72
MAFACsPbSnBrClI,0.5,0.5,0,1,0,0.999,0,2.001,1.751
MAFACsPbSnBrClI,0,1,0,0.75,0.25,0.6,0,2.4,1.48
MAFACsPbSnBrClI,0.68,0.26,0.05,0.75,0.25,0.399,0,2.601,1.36
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.999,0,2.001,1.61
MAFACsPbSnBrClI,0.88,0.12,0,1,0,0,0,3,1.53
MAFACsPbSnBrClI,0.81,0.19,0,1,0,0.54,0,2.46,1.62
MAFACsPbSnBrClI,0,1,0,1,0,0.15,0,2.85,1.57
MAFACsPbSnBrClI,0.75,0.25,0,0,1,0,0,3,1.354
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.81,0,2.19,1.7
MAFACsPbSnBrClI,0.67,0.33,0,1,0,0.501,0,2.499,1.638
MAFACsPbSnBrClI,0.2,0.8,0,1,0,0.3,0,2.7,1.59
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.801,0,2.199,1.72
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.519,0,2.481,1.64
MAFACsPbSnBrClI,1,0,0,1,0,3,0,0,2.268
MAFACsPbSnBrClI,0,1,0,1,0,2.499,0,0.501,2.161
MAFACsPbSnBrClI,1,0,0,0.875,0.125,0,0,3,1.33
MAFACsPbSnBrClI,0.17,0.83,0,1,0,0.501,0,2.499,1.625
MAFACsPbSnBrClI,0.8,0.2,0,1,0,0.201,0,2.799,1.53
MAFACsPbSnBrClI,0.92,0.08,0,1,0,0.24,0,2.76,1.56
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0.6,0,2.4,1.68
MAFACsPbSnBrClI,0,1,0,1,0,0.87,2.13,0,2.88
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0,0,3,1.55
MAFACsPbSnBrClI,0.82,0.14,0.04,1,0,0.42,0,2.58,1.58
MAFACsPbSnBrClI,0.66,0.14,0.2,0,1,0.501,0,2.499,1.42
MAFACsPbSnBrClI,0.79,0.16,0.05,0.25,0.75,0.501,0,2.499,1.3
MAFACsPbSnBrClI,0.7,0.3,0,1,0,0.285,0,2.715,1.63
MAFACsPbSnBrClI,0.85,0.15,0,1,0,0.21,0,2.79,1.56
MAFACsPbSnBrClI,0.79,0.16,0.05,0.16,0.84,0.519,0,2.481,1.38
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0.201,0,2.799,1.56
MAFACsPbSnBrClI,0,0,1,0,1,0.99,2.01,0,2.1
MAFACsPbSnBrClI,0,1,0,0.4,0.6,1.5,0,1.5,1.27
MAFACsPbSnBrClI,0.8,0.2,0,1,0,0.6,0,2.4,1.5
MAFACsPbSnBrClI,0.6,0,0.4,1,0,0.285,0,2.715,1.61
MAFACsPbSnBrClI,0.85,0.15,0,1,0,0.501,0,2.499,1.65
MAFACsPbSnBrClI,0.83,0.03,0.14,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.501,0,2.499,1.61
MAFACsPbSnBrClI,0,1,0,1,0,0.03,0,2.97,1.6
MAFACsPbSnBrClI,0,1,0,1,0,1.401,0,1.599,1.791
MAFACsPbSnBrClI,0.75,0.25,0,1,0,0,0,3,1.53
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.249
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.51,0,2.49,1.62
MAFACsPbSnBrClI,0.666,0.2668,0.0664,1,0,0.285,0,2.715,1.63
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.75,0,2.25,1.715
MAFACsPbSnBrClI,0.2,0.7,0.1,1,0,0,0,3,1.62
MAFACsPbSnBrClI,1,0,0,0.75,0.25,0,0,3,1.393
MAFACsPbSnBrClI,0,1,0,0.7,0.3,0,0,3,1.278
MAFACsPbSnBrClI,0.788,0.162,0.05,1,0,0.51,0,2.49,1.59
MAFACsPbSnBrClI,0.2,0.4,0.4,1,0,0,0,3,1.64
MAFACsPbSnBrClI,0.66,0.14,0.2,0.5,0.5,0.501,0,2.499,1.31
MAFACsPbSnBrClI,0.65,0.3,0.05,1,0,0.15,0,2.85,1.55
MAFACsPbSnBrClI,0,1,0,1,0,1.74,0,1.26,1.924
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.5,0.5,0,0,1,0,0,3,1.38
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.501,0,2.499,1.622
MAFACsPbSnBrClI,0.6,0.4,0,1,0,0,0,3,1.54
MAFACsPbSnBrClI,0,1,0,0.375,0.625,0,0,3,1.2
MAFACsPbSnBrClI,0,0.9,0.1,1,0,1.2,0,1.8,1.82
MAFACsPbSnBrClI,0.75,0.05,0.2,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.8,0,0.2,1,0,1.05,0,1.95,1.76
MAFACsPbSnBrClI,0,1,0,1,0,0.801,0,2.199,1.75
MAFACsPbSnBrClI,0.33,0.67,0,1,0,1.5,0,1.5,1.855
MAFACsPbSnBrClI,0,0.9,0.1,1,0,0.999,0,2.001,1.77
MAFACsPbSnBrClI,1,0,0,0,1,0,0,3,1.4
MAFACsPbSnBrClI,0,0,1,1,0,2.799,0,0.201,2.35
MAFACsPbSnBrClI,1,0,0,1,0,2.001,0,0.999,1.969
MAFACsPbSnBrClI,0,1,0,1,0,2.01,0.99,0,2.57
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0.099,0,2.901,1.55
MAFACsPbSnBrClI,1,0,0,0.4,0.6,0,0,3,1.29
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0.6,0,2.4,1.69
MAFACsPbSnBrClI,0,1,0,0.4,0.6,0.399,0,2.601,1.26
MAFACsPbSnBrClI,0,0.9,0.1,0.5,0.5,0,0,3,1.29
MAFACsPbSnBrClI,0,1,0,1,0,0.201,0,2.799,1.62
MAFACsPbSnBrClI,0,1,0,0.75,0.25,0.3,0,2.7,1.43
MAFACsPbSnBrClI,0,1,0,0.125,0.875,0,0,3,1.18
MAFACsPbSnBrClI,0.6,0.1,0.3,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,0.8,0,0.2,0.5,0.5,0,0,3,1.31
MAFACsPbSnBrClI,0,1,0,0.2,0.8,0.399,0,2.601,1.26
MAFACsPbSnBrClI,0.83,0,0.17,0.3,0.7,0,0,3,1.25
MAFACsPbSnBrClI,0.825,0.15,0.025,1,0,0.45,0,2.55,1.651
MAFACsPbSnBrClI,0.2,0,0.8,1,0,0.6,0,2.4,1.603
MAFACsPbSnBrClI,0.85,0.1,0.05,1,0,0.03,0,2.97,1.598
MAFACsPbSnBrClI,0,1,0,1,0,3,0,0,2.11
MAFACsPbSnBrClI,0.975,0.025,0,1,0,0,0,3,1.48
MAFACsPbSnBrClI,0.666,0.0664,0.2668,1,0,0.285,0,2.715,1.65
MAFACsPbSnBrClI,0,1,0,1,0,0.21,2.79,0,3.13
MAFACsPbSnBrClI,0,0,1,0.9,0.1,2.001,0,0.999,1.79
MAFACsPbSnBrClI,0.83,0,0.17,0.9,0.1,0,0,3,1.44
MAFACsPbSnBrClI,0,1,0,1,0,1.68,1.32,0,2.68
MAFACsPbSnBrClI,0.8,0.04,0.16,1,0,1.83,0,1.17,1.91
MAFACsPbSnBrClI,0,1,0,1,0,2.4,0.6,0,2.55
MAFACsPbSnBrClI,0.75,0.15,0.1,0.5,0.5,0.501,0,2.499,1.31
MAFACsPbSnBrClI,0.77,0.16,0.07,1,0,0.501,0,2.499,1.639
MAFACsPbSnBrClI,0,1,0,0.5,0.5,0,0,3,1.231
MAFACsPbSnBrClI,0.5,0.5,0,1,0,0,0,3,1.576
MAFACsPbSnBrClI,0.85,0.1,0.05,1,0,3,0,0,2.28
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.48,0,2.52,1.6
MAFACsPbSnBrClI,0,1,0,1,0,0.78,0,2.22,1.69
MAFACsPbSnBrClI,0,1,0,1,0,1.2,1.8,0,2.84
MAFACsPbSnBrClI,0,1,0,1,0,0.93,2.07,0,2.84
MAFACsPbSnBrClI,0.75,0,0.25,0.5,0.5,0,0,3,1.236
MAFACsPbSnBrClI,0.75,0.25,0,0.75,0.25,0,0,3,1.33
MAFACsPbSnBrClI,0,1,0,0.4,0.6,0.6,0,2.4,1.24
MAFACsPbSnBrClI,0.67,0.33,0,1,0,3,0,0,2.28
MAFACsPbSnBrClI,0.1,0.9,0,1,0,2.7,0,0.3,2.14
MAFACsPbSnBrClI,0,0.9,0.1,0.7,0.3,0,0,3,1.39
MAFACsPbSnBrClI,0.67,0.33,0,1,0,1.5,0,1.5,1.848
MAFACsPbSnBrClI,0,0.2,0.8,1,0,0,0,3,1.72
MAFACsPbSnBrClI,0,1,0,1,0,1.26,0,1.74,1.9
MAFACsPbSnBrClI,0,1,0,1,0,0,3,0,3.04
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.03,0,2.97,1.6
MAFACsPbSnBrClI,0.75,0,0.25,0.37,0.63,0,0,3,1.24
MAFACsPbSnBrClI,0.75,0.25,0,1,0,0.75,0,2.25,1.61
MAFACsPbSnBrClI,0.6,0.4,0,1,0,0.285,0,2.715,1.64
MAFACsPbSnBrClI,0.67,0.33,0,1,0,0.999,0,2.001,1.682
MAFACsPbSnBrClI,0,1,0,1,0,1.32,1.68,0,2.79
MAFACsPbSnBrClI,0,0,1,1,0,0,0,3,1.73
MAFACsPbSnBrClI,0,1,0,0.1,0.9,0,0,3,1.18
MAFACsPbSnBrClI,0.25,0.75,0,0.75,0.25,0,0,3,1.331
MAFACsPbSnBrClI,0.79,0.15,0.06,1,0,0.45,0,2.55,1.593
MAFACsPbSnBrClI,0.6,0.1,0.3,1,0,0.285,0,2.715,1.65
MAFACsPbSnBrClI,0,1,0,1,0,1.701,0,1.299,1.94
MAFACsPbSnBrClI,0,1,0,1,0,0.999,0,2.001,1.8
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0,0,3,1.571
MAFACsPbSnBrClI,0.7,0,0.3,0.7,0.3,0,0,3,1.3
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.285,0,2.715,1.56
MAFACsPbSnBrClI,0,0,1,1,0,1.8,1.2,0,2.47
MAFACsPbSnBrClI,0.05,0.95,0,1,0,0,0,3,1.502
MAFACsPbSnBrClI,0.83,0,0.17,0.4,0.6,0,0,3,1.25
MAFACsPbSnBrClI,0,1,0,0.75,0.25,0,0,3,1.24
MAFACsPbSnBrClI,0.96,0.04,0,1,0,0.12,0,2.88,1.48
MAFACsPbSnBrClI,0,1,0,1,0,0.111,0,2.889,1.585
MAFACsPbSnBrClI,0,1,0,0,1,2.64,0,0.36,1.83
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.3,0,2.7,1.55
MAFACsPbSnBrClI,0.9,0.1,0,1,0,0.3,0,2.7,1.5
MAFACsPbSnBrClI,0.8,0.2,0,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,0,1,0,1,0,0.141,0,2.859,1.591
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.999,0,2.001,1.643
MAFACsPbSnBrClI,0,1,0,1,0,0.339,0,2.661,1.65
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0.3,0,2.7,1.58
MAFACsPbSnBrClI,0.9,0.1,0,1,0,0.285,0,2.715,1.61
MAFACsPbSnBrClI,0,1,0,0.6,0.4,0.399,0,2.601,1.26
MAFACsPbSnBrClI,0.33,0.67,0,1,0,2.499,0,0.501,2.139
MAFACsPbSnBrClI,0.6,0.3,0.1,1,0,0.285,0,2.715,1.64
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0.24,0,2.76,1.28
MAFACsPbSnBrClI,0.8,0.15,0.05,1,0,0.15,0,2.85,1.622
MAFACsPbSnBrClI,0,0.4,0.6,1,0,0,0,3,1.68
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.51,0,2.49,1.59
MAFACsPbSnBrClI,0,0.97,0.03,1,0,0.09,0,2.91,1.6
MAFACsPbSnBrClI,0.79,0.16,0.05,0,1,0.501,0,2.499,1.45
MAFACsPbSnBrClI,0.92,0,0.08,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.666,0.2668,0.0664,1,0,0.768,0,2.232,1.71
MAFACsPbSnBrClI,0,1,0,1,0,0.561,0,2.439,1.68
MAFACsPbSnBrClI,0.75,0.25,0,1,0,0.45,0,2.55,1.62
MAFACsPbSnBrClI,0.65,0.2,0.15,1,0,0.6,0,2.4,1.68
MAFACsPbSnBrClI,0.8668,0.0664,0.066,1,0,0.768,0,2.232,1.7
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.25
MAFACsPbSnBrClI,1,0,0,1,0,0.15,0,2.85,1.62
MAFACsPbSnBrClI,0,0,1,1,0,0.999,0,2.001,1.91
MAFACsPbSnBrClI,0.5,0.5,0,0.75,0.25,0,0,3,1.33
MAFACsPbSnBrClI,0.85,0,0.15,0.375,0.625,0,0,3,1.24
MAFACsPbSnBrClI,0.72,0.08,0.2,1,0,0.03,0,2.97,1.62
MAFACsPbSnBrClI,0,0,1,0,1,3,0,0,1.791
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0,0,3,1.541
MAFACsPbSnBrClI,0.7885,0.1615,0.05,1,0,0.51,0,2.49,1.576
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.75,0,2.25,1.67
MAFACsPbSnBrClI,0.87,0.13,0,1,0,0,0,3,1.5
MAFACsPbSnBrClI,0,1,0,0,1,0.6,0,2.4,1.36
MAFACsPbSnBrClI,0,1,0,0.7,0.3,0,0,3,1.285
MAFACsPbSnBrClI,0.02,0.98,0,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.92,0.08,0,1,0,0,0,3,1.55
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.51,0,2.49,1.623
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.999,0,2.001,1.684
MAFACsPbSnBrClI,0.33,0.67,0,1,0,0.999,0,2.001,1.757
MAFACsPbSnBrClI,0.5,0.5,0,1,0,2.001,0,0.999,1.957
MAFACsPbSnBrClI,0,1,0,0,1,2.001,0,0.999,1.77
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.42,0,2.58,1.61
MAFACsPbSnBrClI,0,1,0,1,0,0.66,0,2.34,1.58
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0.3,0,2.7,1.57
MAFACsPbSnBrClI,0,1,0,1,0,1.5,1.5,0,2.75
HydPbI2Cl,1,0,0,1,1,1,1,1,3.7
MA0.95GA0.05PbI3,0.95,0.05,0,1,1,1,1,1,1.59
MA0.9GA0.1PbI3,0.9,0.1,0,1,1,1,1,1,1.59
MA0.85GA0.15PbI3,0.85,0.15,0,1,1,1,1,1,1.59
MA0.8GA0.2PbI3,0.8,0.2,0,1,1,1,1,1,1.59
MA0.8Hz0.2SnI3,0.8,0.2,0,1,1,1,1,1,1.3
MA0.90DMA0.10SnBr3,0.9,0.1,0,1,1,1,1,1,2.11
MA0.85DMA0.15SnBr3,0.85,0.15,0,1,1,1,1,1,2.14
MA0.70DMA0.30SnBr3,0.7,0.3,0,1,1,1,1,1,2.33
MA0.60DMA0.40SnBr3,0.6,0.4,0,1,1,1,1,1,2.44
MA0.40DMA0.60SnBr3,0.4,0.6,0,1,1,1,1,1,2.56
GuaPbI2Cl,1,0,0,1,1,1,1,1,2.06
FA0.75MA0.25SnI3,0.75,0.25,0,1,1,1,1,1,1.4
FA0.75MA0.25Sn0.95Ge0.05I3,0.75,0.25,0,0.95,0.05,1,1,1,1.4
FA0.75MA0.25Sn0.90Ge0.10I3,0.75,0.25,0,0.9,0.1,1,1,1,1.42
FA0.75MA0.25Sn0.8Ge0.2I3,0.75,0.25,0,0.8,0.2,1,1,1,1.53
MA0.8ACA0.2PbI3,0.8,0.2,0,1,1,1,1,1,1.58
MA0.9ACA0.1PbI3,0.9,0.1,0,1,1,1,1,1,1.58
DMA0.1FA0.6Cs0.3PbI2.4Br0.6,0.1,0.6,0.3,1,1,2.4,0.6,0,1.73
FA0.33GA0.19Cs0.47PbI1.98Br1.02,0.33,0.19,0.48,1,1,1.98,0,1.02,1.84
FA0.58GA0.1Cs0.32PbI1.98Br1.02,0.58,0.1,0.32,1,1,1.02,1.98,0,1.75
AzPbI2Cl,1,0,0,1,1,1,1,1,2.018
MAPbI2.6Cl0.4,0,1,0,1,1,2.6,0,0.4,1.63823
MA0.95IM0.05PbI2.6Cl0.4,0,0.05,0.95,1,1,0,0.4,2.6,1.63268
MA0.9IM0.1PbI2.6Cl0.4,0.9,0.1,0,1,1,0,2.6,0.4,1.63266
MA0.75IM0.25PbI2.6Cl0.4,0,0.25,0.75,1,1,0.4,0,2.6,1.63131
MA0.66EA0.33PbBr3,0.66,0.33,0,1,1,1,1,1,2.29
Ethylammonium Germanium Fluoride,1,0,0,0,1,1,1,1,4.560533333
Propylammonium Germanium Fluoride,0,1,0,1,0,1,1,1,4.5510125
Butylammonium Germanium Fluoride,0,0,1,0,1,1,1,1,4.7092
Isopropylammonium Germanium Fluoride,0,1,0,1,0,1,1,1,4.960077778
Dimethylammonium Germanium Fluoride,1,0,0,0,1,1,1,1,4.5091
Acetamidinium Germanium Fluoride,0,1,0,1,0,1,1,1,4.026366667
Methylammonium Germanium Fluoride,0,0,1,0,1,1,1,1,3.9562
Guanidinium Germanium Fluoride,0,1,0,1,0,1,1,1,4.3617
Hydroxylammonium Germanium Fluoride,1,0,0,0,1,1,1,1,4.387157143
Formamidinium Germanium Fluoride,0,1,0,1,0,1,1,1,3.6069
Tetramethylammonium Germanium Fluoride,0,0,1,0,1,1,1,1,4.91785
Hydrazinium Germanium Fluoride,0,1,0,1,0,1,1,1,4.2959625
Ammonium Germanium Fluoride,1,0,0,0,1,1,1,1,4.1935
Trimethylammonium Germanium Fluoride,0,1,0,1,0,1,1,1,4.848685714
Azetidinium Germanium Fluoride,0,0,1,0,1,1,1,1,4.329915385
Imidazolium Germanium Fluoride,0,1,0,1,0,1,1,1,3.706383333
Ethylammonium Germanium Chloride,1,0,0,0,1,1,1,1,3.1944
Propylammonium Germanium Chloride,0,1,0,1,0,1,1,1,3.29545
Butylammonium Germanium Chloride,0,0,1,0,1,1,1,1,3.462366667
Isopropylammonium Germanium Chloride,0,1,0,1,0,1,1,1,3.564214286
Dimethylammonium Germanium Chloride,1,0,0,0,1,1,1,1,3.2404
Acetamidinium Germanium Chloride,0,1,0,1,0,1,1,1,3.36318
Methylammonium Germanium Chloride,0,0,1,0,1,1,1,1,3.02224
Guanidinium Germanium Chloride,0,1,0,1,0,1,1,1,3.123666667
Hydroxylammonium Germanium Chloride,1,0,0,0,1,1,1,1,3.016871429
Formamidinium Germanium Chloride,0,1,0,1,0,1,1,1,2.9164
Tetramethylammonium Germanium Chloride,0,0,1,0,1,1,1,1,3.534533333
Hydrazinium Germanium Chloride,0,1,0,1,0,1,1,1,3.10273
Ammonium Germanium Chloride,1,0,0,0,1,1,1,1,2.8544
Trimethylammonium Germanium Chloride,0,1,0,1,0,1,1,1,3.465675
Azetidinium Germanium Chloride,0,0,1,0,1,1,1,1,3.237364286
Imidazolium Germanium Chloride,0,1,0,1,0,1,1,1,3.1843
Ethylammonium Germanium Bromide,1,0,0,0,1,1,1,1,2.649581818
Propylammonium Germanium Bromide,0,1,0,1,0,1,1,1,2.694338462
Butylammonium Germanium Bromide,0,0,1,0,1,1,1,1,2.830133333
Isopropylammonium Germanium Bromide,0,1,0,1,0,1,1,1,2.816933333
Dimethylammonium Germanium Bromide,1,0,0,0,1,1,1,1,2.659055556
Acetamidinium Germanium Bromide,0,1,0,1,0,1,1,1,2.66935
Methylammonium Germanium Bromide,0,0,1,0,1,1,1,1,2.332716667
Guanidinium Germanium Bromide,0,1,0,1,0,1,1,1,2.3976
Hydroxylammonium Germanium Bromide,1,0,0,0,1,1,1,1,2.383
Formamidinium Germanium Bromide,0,1,0,1,0,1,1,1,2.2667
Tetramethylammonium Germanium Bromide,0,0,1,0,1,1,1,1,2.809833333
Hydrazinium Germanium Bromide,0,1,0,1,0,1,1,1,2.465990909
Ammonium Germanium Bromide,1,0,0,0,1,1,1,1,2.607725
