Perovskite,A1,A2,A3,B1,B2,X1,X2,X3,Mean_Bg
MAFACsPbSnBrClI,0.3,0.7,0,1,0,2.1,0,0.9,2.03
MAFACsPbSnBrClI,0.79,0.16,0.05,0.75,0.25,0.501,0,2.499,1.34
MAFACsPbSnBrClI,0.6,0.4,0,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,0,0.77,0.23,1,0,0,0,3,1.644
MAFACsPbSnBrClI,0,1,0,1,0,0.075,0,2.976,1.6
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.45,0,2.55,1.63
MAFACsPbSnBrClI,0,1,0,1,0,0.069,0,2.931,1.61
MAFACsPbSnBrClI,0.7,0,0.3,1,0,0.285,0,2.715,1.63
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.9,0,2.1,1.72
MAFACsPbSnBrClI,0,1,0,0.25,0.75,1.2,0,1.8,1.34
MAFACsPbSnBrClI,0.38,0.57,0.05,1,0,0.201,0,2.799,1.57
MAFACsPbSnBrClI,0.95,0,0.05,1,0,0.15,0,2.85,1.538
MAFACsPbSnBrClI,0.79,0.16,0.05,0.916,0.084,0.519,0,2.481,1.38
MAFACsPbSnBrClI,0,1,0,0.75,0.25,1.2,0,1.8,1.59
MAFACsPbSnBrClI,0,1,0,1,0,0.36,0,2.64,1.62
MAFACsPbSnBrClI,0.8,0,0.2,0,1,0,0,3,1.2
MAFACsPbSnBrClI,0,0.99,0.01,1,0,0.03,0,2.97,1.6
MAFACsPbSnBrClI,0,0.83,0.17,1,0,0,0,3,1.633
MAFACsPbSnBrClI,0.83,0,0.17,0.98,0.02,0,0,3,1.51
MAFACsPbSnBrClI,0,1,0,1,0,0.99,2.01,0,2.81
MAFACsPbSnBrClI,0.9,0.1,0,1,0,0.03,0,2.97,1.581
MAFACsPbSnBrClI,0,1,0,1,0,0.6,0,2.4,1.62
MAFACsPbSnBrClI,0.87,0,0.13,1,0,0.999,0,2.001,1.72
MAFACsPbSnBrClI,0,0.91,0.09,1,0,0,0,3,1.59
MAFACsPbSnBrClI,0,1,0,0.5,0.5,0.6,0,2.4,1.35
MAFACsPbSnBrClI,0.83,0.17,0,1,0,2.001,0,0.999,1.976
MAFACsPbSnBrClI,0.84,0.16,0,1,0,0.501,0,2.499,1.65
MAFACsPbSnBrClI,0,0,1,0,1,0,3,0,2.8
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.42,0,2.58,1.59
MAFACsPbSnBrClI,0,1,0,0.25,0.75,0,0,3,1.24
MAFACsPbSnBrClI,0,1,0,1,0,1.14,0,1.86,1.777
MAFACsPbSnBrClI,0,1,0,1,0,0.249,0,2.751,1.65
MAFACsPbSnBrClI,0.4,0.6,0,1,0,0,0,3,1.544
MAFACsPbSnBrClI,0,0,1,0,1,2.001,0,0.999,1.64
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.3,0,2.7,1.59
MAFACsPbSnBrClI,0.475,0.5,0.025,0.5,0.5,0,0,3,1.27
MAFACsPbSnBrClI,0.83,0.12,0.05,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,0.51,0,2.49,1.616
MAFACsPbSnBrClI,0.94,0.01,0.05,1,0,0.03,0,2.97,1.55
MAFACsPbSnBrClI,0.83,0.17,0,1,0,0.39,0,2.61,1.6
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.45,0,2.55,1.63
MAFACsPbSnBrClI,0,0,1,1,0,0.309,0,2.691,1.75
MAFACsPbSnBrClI,0.71,0.29,0,1,0,0.42,0,2.58,1.62
MAFACsPbSnBrClI,0.33,0.67,0,1,0,0,0,3,1.56
MAFACsPbSnBrClI,0.976,0.024,0,1,0,0.075,0,2.925,1.54
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.25
MAFACsPbSnBrClI,0.79,0.14,0.07,1,0,0.45,0,2.55,1.55
MAFACsPbSnBrClI,0.6,0,0.4,1,0,0.9,0,2.1,1.76
MAFACsPbSnBrClI,0,1,0,0.8,0.2,0,0,3,1.5
MAFACsPbSnBrClI,0,0.95,0.05,1,0,0,0,3,1.51
MAFACsPbSnBrClI,0.747,0.153,0.1,1,0,0.51,0,2.49,1.73
MAFACsPbSnBrClI,0,1,0,1,0,0.051,0,2.949,1.58
MAFACsPbSnBrClI,0.83,0,0.17,0.99,0.01,0,0,3,1.52
MAFACsPbSnBrClI,0.79,0.15,0.06,1,0,0.45,0,2.55,1.64
MAFACsPbSnBrClI,0,0,1,1,0,0.09,0,2.91,1.77
MAFACsPbSnBrClI,0.71,0.14,0.15,1,0,0.9,0,2.1,1.7
